Norte,Leste,Elevacao,Data,Prisma
7768426.8320,658199.7855,963.7042,16/02/2024,EL
7768426.2919,658298.9066,941.1974,16/02/2024,PM-30
7768454.1576,658257.7948,941.7616,16/02/2024,PM-31
7768484.3950,658216.5806,941.8924,16/02/2024,PM-32
7768515.2735,658175.7827,940.9917,16/02/2024,PM-33
7768367.7381,658257.9681,964.7637,16/02/2024,PM-34
7768396.5728,658216.8571,965.2270,16/02/2024,PM-35
7768426.8797,658176.9391,965.0468,16/02/2024,PM-36
7768459.8897,658132.9213,964.6789,16/02/2024,PM-37
7768609.3500,658436.9100,915.3950,16/02/2024,BCGMR-04
7768384.9840,658271.7159,958.3093,16/02/2024,PM-04
7768459.6561,658322.1324,924.7252,16/02/2024,PM-19
7768442.8314,658284.6919,939.2262,16/02/2024,PM-21
7768415.1481,658239.1152,956.3975,16/02/2024,PM-03
7768446.5874,658243.6248,947.1801,16/02/2024,PM-06
7768473.7978,658278.9090,931.0261,16/02/2024,PM-17
7768500.1466,658127.6011,955.0335,16/02/2024,PM-01
7768453.4356,658188.8315,955.8103,16/02/2024,PM-02
7768401.8890,658309.8422,946.4753,16/02/2024,PM-05
7768499.5224,658182.4776,944.1714,16/02/2024,PM-07
7768498.9875,658269.6869,924.6074,16/02/2024,PM-16
7768476.3290,658296.7900,925.8262,16/02/2024,PM-18
7768474.8960,658244.4092,938.2283,16/02/2024,PM-22
7768501.2531,658211.8807,937.2282,16/02/2024,PM-23
7768530.4647,658179.6557,934.9067,16/02/2024,PM-24
7768502.6339,658240.0862,930.7141,16/02/2024,PM-25
7768525.3164,658214.2352,929.2987,16/02/2024,PM-26
7768124.2810,657538.9050,985.1380,16/02/2024,BCGMR-02
7768178.0334,657588.2428,981.3152,16/02/2024,PM-54
7768155.9162,657568.6653,980.1748,16/02/2024,PM-55
7768197.9950,657642.1445,984.3606,16/02/2024,PM-56
7768158.4472,657612.4726,983.6450,16/02/2024,PM-57
7768110.5317,657575.0763,983.9856,16/02/2024,PM-58
7768160.6927,657648.8679,990.7770,16/02/2024,PM-59
7768116.2962,657608.1690,989.1525,16/02/2024,PM-60
7768171.4523,657672.9842,998.7125,16/02/2024,PM-61
7768134.5994,657640.9543,998.4368,16/02/2024,PM-62
7768083.1847,657599.0118,998.5244,16/02/2024,PM-63
7768426.9127,658199.7614,963.6662,15/02/2024,EL
7768426.3005,658298.9076,941.2019,15/02/2024,PM-30
7768454.1524,658257.8005,941.7742,15/02/2024,PM-31
7768484.3949,658216.5803,941.8980,15/02/2024,PM-32
7768515.2698,658175.7808,940.9857,15/02/2024,PM-33
7768367.7421,658257.9731,964.7583,15/02/2024,PM-34
7768396.5718,658216.8574,965.2283,15/02/2024,PM-35
7768426.8758,658176.9390,965.0525,15/02/2024,PM-36
7768459.8926,658132.9234,964.6752,15/02/2024,PM-37
7768609.3500,658436.9100,915.3950,15/02/2024,BCGMR-04
7768384.9850,658271.7171,958.3147,15/02/2024,PM-04
7768459.6562,658322.1334,924.7301,15/02/2024,PM-19
7768442.8305,658284.6932,939.2249,15/02/2024,PM-21
7768415.1461,658239.1210,956.4072,15/02/2024,PM-03
7768446.5820,658243.6310,947.1873,15/02/2024,PM-06
7768473.7896,658278.9151,931.0106,15/02/2024,PM-17
7768500.1394,658127.6060,955.0440,15/02/2024,PM-01
7768453.4310,658188.8347,955.8086,15/02/2024,PM-02
7768401.8769,658309.8635,946.4735,15/02/2024,PM-05
7768499.5201,658182.4799,944.1730,15/02/2024,PM-07
7768498.9835,658269.6905,924.6050,15/02/2024,PM-16
7768476.3218,658296.7978,925.8308,15/02/2024,PM-18
7768474.8843,658244.4175,938.2197,15/02/2024,PM-22
7768501.2565,658211.8796,937.2289,15/02/2024,PM-23
7768530.4625,658179.6574,934.9006,15/02/2024,PM-24
7768502.6329,658240.0881,930.7153,15/02/2024,PM-25
7768525.3294,658214.2317,929.3009,15/02/2024,PM-26
7768124.2810,657538.9050,985.1380,15/02/2024,BCGMR-02
7768178.0335,657588.2413,981.3131,15/02/2024,PM-54
7768155.9140,657568.6665,980.1750,15/02/2024,PM-55
7768197.9982,657642.1418,984.3554,15/02/2024,PM-56
7768158.4409,657612.4750,983.6400,15/02/2024,PM-57
7768110.5302,657575.0751,983.9817,15/02/2024,PM-58
7768160.6934,657648.8670,990.7847,15/02/2024,PM-59
7768116.2993,657608.1693,989.1514,15/02/2024,PM-60
7768171.4462,657672.9861,998.7109,15/02/2024,PM-61
7768134.6068,657640.9533,998.4332,15/02/2024,PM-62
7768083.1857,657599.0121,998.5252,15/02/2024,PM-63